superid,initial_coop,inital_defect,initial_punish,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
3510,1,0,0,0.253333333333333,833.333333333333,4,200
3511,0,1,0,0.195205479452055,912.5,4,1150
3512,0,1,0,0.351851851851852,675,4,200
3513,0,1,0,0.253333333333333,833.333333333333,4,1150
3514,0,1,0,0.195205479452055,912.5,4,1150
3515,0,1,0,0.383193277310924,607.142857142857,5,1150
3518,NA,NA,NA,NA,NA,NA,200
3519,1,0,0,0.351851851851852,675,5,200
3600,1,0,0,0.407142857142857,437.5,6,200
3602,0,1,0,0.407142857142857,437.5,2,200
3603,1,0,0,0.368217054263566,358.333333333333,7,200
3604,1,0,0,0.351851851851852,675,5,200
3605,1,0,0,0,200,3,200
3606,1,0,0,0.407142857142857,437.5,9,1150
3607,1,0,0,0,200,7,200
3608,0,1,0,0.368217054263566,358.333333333333,5,200
3609,1,0,0,0.411255411255411,471.428571428571,6,1150
3610,1,0,0,0.400280898876405,556.25,10,1150
3611,0,1,0,0.411255411255411,471.428571428571,9,200
3612,1,0,0,0.399399399399399,411.111111111111,10,200
3613,1,0,0,0.407142857142857,437.5,8,200
3614,0,1,0,0.393103448275862,580,2,200
3615,1,0,0,0.407142857142857,437.5,7,1150
3616,0,0,1,0.408602150537634,516.666666666667,3,200
3617,1,0,0,0.346504559270517,335.714285714286,9,200
3618,0,1,0,0.399399399399399,411.111111111111,8,200
3700,0,1,0,0,200,3,200
3701,1,0,0,0.307070707070707,305.555555555556,8,200
3703,0,1,0,0,200,6,200
3704,0,1,0,0,200,5,200
3705,1,0,0,0,200,6,200
3706,0,1,0,0.368217054263566,358.333333333333,5,200
3707,1,0,0,0,200,6,200
3709,0,1,0,0,200,4,200
3711,1,0,0,0.346504559270517,335.714285714286,7,200
3712,1,0,0,0.368217054263566,358.333333333333,8,200
3713,1,0,0,0,200,6,200
3715,1,0,0,0,200,9,200
3716,0,1,0,0,200,4,200
3717,0,1,0,0.368217054263566,358.333333333333,5,1150
3719,0,1,0,0,200,4,200
3720,1,0,0,0.408602150537634,516.666666666667,4,200
3800,0,0,1,0.313186813186813,742.857142857143,6,200
3801,1,0,0,0.351851851851852,675,5,200
3802,1,0,0,0.133053221288515,991.666666666667,8,1150
3804,1,0,0,0.351851851851852,675,5,1150
3805,1,0,0,0.372792674950948,631.818181818182,9,1150
3806,0,1,0,0.400280898876405,556.25,8,1150
3807,0,1,0,0.38974358974359,390,6,200
3812,NA,NA,NA,NA,NA,NA,200
3813,0,0,1,0.383193277310924,607.142857142857,7,200
3814,0,1,0,0.158333333333333,960,2,1150
3816,1,0,0,0.253333333333333,833.333333333333,11,1150
3818,0,1,0,0.158333333333333,960,4,1150
3820,0,1,0,0.158333333333333,960,5,200
3821,1,0,0,0.38974358974359,390,7,200
3822,1,0,0,0.408602150537634,516.666666666667,9,200
3823,1,0,0,0.408602150537634,516.666666666667,7,1150
3824,1,0,0,0.408602150537634,516.666666666667,7,200
3825,1,0,0,0.393103448275862,580,10,200
3901,0,1,0,-8.88178419700125e-16,200,6,200
3903,1,0,0,0.383193277310924,607.142857142857,6,1150
3904,1,0,0,0.351851851851852,675,6,1150
3905,1,0,0,0.346504559270517,335.714285714286,6,200
3906,0,1,0,0,200,5,200
3907,NA,NA,NA,NA,NA,NA,1150
3908,NA,NA,NA,NA,NA,NA,200
3910,1,0,0,0.289830508474576,295,8,200
3911,1,0,0,0.407142857142857,437.5,4,200
3912,0,1,0,0.376984126984127,622.222222222222,7,1150
3913,1,0,0,0.346504559270517,335.714285714286,8,200
3914,0,1,0,0.346504559270517,335.714285714286,7,200
3915,0,0,1,0,200,6,200
3918,0,1,0,0.346504559270517,335.714285714286,9,200
3919,0,1,0,-8.88178419700125e-16,200,9,200
3920,0,1,0,0.393103448275862,580,7,200
3921,0,1,0,0.368217054263566,358.333333333333,4,200
3922,1,0,0,0,200,5,200
3924,0,1,0,0.408602150537634,516.666666666667,5,200
4000,0,1,0,0.368217054263566,358.333333333333,7,200
4001,1,0,0,0.41044104410441,459.090909090909,9,200
4002,1,0,0,0.399399399399399,411.111111111111,7,200
4003,1,0,0,0.407142857142857,437.5,5,200
4004,0,1,0,0.402258292166549,419.230769230769,9,1150
4005,1,0,0,0.38974358974359,390,9,200
4006,1,0,0,0.408602150537634,516.666666666667,3,1150
4007,1,0,0,0.351851851851852,675,7,200
4008,1,0,0,0.357264957264958,346.153846153846,13,1150
4010,0,1,0,0.368217054263566,358.333333333333,9,200
4011,1,0,0,0.399399399399399,411.111111111111,6,200
4013,1,0,0,0.411340206185567,485,11,200
4014,0,1,0,0.400280898876405,556.25,6,200
